	Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
11	11	1	0.4168937329700272	1.3044037818908691	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2543.356	561	561	645	561	561	561	571	571	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0041	adam	5	+accuracy	0.8957162921348315	2543.356	18.0	5	561	561	645	329	561	561	123	571	0.38432538687959605	0	0.3642143505903724	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6731275558471683
12	12	0	0.35149863760217986	1.6427195923668998	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.1		maxpool		True		218.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.712	561	561	561	561	643	687	561	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0453	adam	5	+accuracy	0.4850187265917603	2547.708	34.0	4	561	561	561	561	643	237	561	687	1.4650951876175984	0	0.32697547683923706	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.2109841993876858
13	13	1	0.3796548592188919	1.4176412514277867	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.1												linear					bag_of_word_counts	classifier	2543.648	561	561	997	633	561	561	677	715	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0083	adam	5	+accuracy	0.9167837078651684	2543.648	335.0	5	407	561	561	561	561	561	561	561	0.3764959126710892	0	0.36603088101725706	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6130897385733471
14	14	2	0.3469573115349682	3.4218104430607386	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0												linear					bag_of_word_counts	classifier	2538.9120000000007	1159	997	693	561	593	661	561	599	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0838	adam	5	+accuracy	0.9881788389513108	2538.9	326.0	6	695	571	561	561	561	10	561	561	0.044106321768618915	0	0.3433242506811989	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.079708351407732
15	15	5	0.35149863760217986	4.923564113889422	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.4												linear					bag_of_word_counts	classifier	2540.204	561	561	619	561	609	583	721	791	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0935	adam	5	+accuracy	0.7545646067415731	2540.196	498.00000000000006	9	0	561	0	561	0	0	561	561	1.3099115000905168	0	0.3224341507720254	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6.4300911971500945
16	16	3	0.36603088101725706	2.9891993863242012	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.2												linear					bag_of_word_counts	classifier	2540.02	561	607	561	607	571	643	1001	743	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0592	adam	5	+accuracy	0.8645833333333334	2540.02	436.0	7	561	561	561	561	561	561	561	561	0.4125721130366629	0	0.3287920072661217	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.8818758283342634
17	17	0	0.2779291553133515	2.0945934704371862	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3					50.0			[1, 2, 3, 4, 5]	107.0		242.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2546.264	561	561	583	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0186	adam	5	+accuracy	0.269311797752809	2546.256	21.0	4	561	561	583	561	561	561	561	561	4.756173204839898	0	0.1916439600363306	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	8.791103703635079
18	18	0	0.4069028156221617	1.3507164682660784	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0		meanpool		True		114.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.092	561	561	561	571	561	561	955	611	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0381	adam	5	+accuracy	0.6142322097378277	2547.092	43.0	4	561	561	561	561	561	561	375	611	0.9308647584825864	0	0.3605812897366031	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.7533428839274816
19	19	0	0.4259763851044505	1.3298180648258755	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0		meanpool		True		396.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2555.268	561	561	683	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0309	adam	5	+accuracy	0.9617275280898876	2555.268	34.0	4	561	561	683	561	561	561	561	561	0.11481783765085628	0	0.3587647593097185	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.5003145013536727
20	20	4	0.3787465940054496	1.6858655248369492	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	8	32	basic	0.0		meanpool		True		268.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2562.728	561	561	561	561	561	759	901	659	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0309	adam	5	+accuracy	0.6049859550561798	2562.652	83.0	8	561	561	561	561	561	759	127	631	0.9509785661983132	0	0.3742052679382379	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.7775666441236224
21	21	2	0.25522252497729336	6.741415527888707	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7]	101.0		149.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2548.668	571	561	585	719	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0299	adam	5	+accuracy	0.25667134831460675	2548.656	36.0	6	327	10	585	301	561	561	561	561	35.97249417001388	0	0.2506811989100817	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	41.706427686555045
22	22	0	0.4178019981834696	1.3247688599995204	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.2			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2546.016	561	561	645	561	561	561	561	571	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0189	adam	5	+accuracy	0.9579822097378276	2546.016	15.000000000000002	4	561	561	645	561	561	561	18	571	0.14254175769758134	0	0.3542234332425068	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.9126106875283377
23	23	8	0.2633969118982743	3.944732911246164	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	12	32	basic	0.4		final_state		True		303.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2552.192	681	561	761	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0662	adam	5	+accuracy	0.2345505617977528	2552.192	89.0	12	681	561	761	561	561	561	561	561	4.657052107071609	0	0.2434150772025432	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.6333933149065287
24	24	0	0.37057220708446864	1.4503026247024535	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2545.156	653	569	601	561	561	679	655	581	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0893	adam	5	+accuracy	0.9281367041198502	2545.156	26.0	4	653	569	601	561	561	679	655	581	0.2415639704393313	0	0.3478655767484105	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.237574059622628
25	25	0	0.2752043596730245	1.679207192148481	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.4		attention		True		467.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2572.16	561	733	561	571	561	967	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0325	adam	5	+accuracy	0.2299859550561797	2572.16	57.0	4	561	733	561	561	561	967	561	561	1.9446461776669104	0	0.262488646684832	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9586382116590224
26	26	2	0.259763851044505	1.960529511315482	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.2		meanpool		True		224.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2555.752	561	689	561	569	681	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0912	adam	5	+accuracy	0.2281132958801498	2555.668	63.00000000000001	6	561	689	561	569	587	561	561	561	2.334021260229389	0	0.2188919164396004	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9641181741442
27	27	0	0.262488646684832	1.8718205077307568	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.0		attention		True		157.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.996	561	561	561	647	561	561	561	663	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0651	adam	5	+accuracy	0.23654026217228466	2547.996	44.0	4	561	561	561	647	561	561	561	663	1.8669025652417528	0	0.2524977293369664	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6763617209025792
28	28	2	0.3405994550408719	2.48274632862636	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	148.0		258.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2558.404	561	561	561	691	561	571	775	601	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0142	adam	5	+accuracy	0.4525983146067416	2558.404	39.0	6	561	561	561	665	561	10	271	601	6.538686804110638	0	0.2615803814713896	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	15.052558531079974
29	29	2	0.259763851044505	436.36525056021554	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.1					50.0			[1, 2, 3, 4, 5]	144.0		377.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2546.772	561	591	561	561	561	561	561	561	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0774	adam	5	+accuracy	0.2466058052434457	2546.772	30.000000000000004	6	561	591	561	561	561	561	561	561	829.1690283982497	0	0.21707538601271573	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1324.6307985305787
30	30	5	0.2770208900999092	1147.3883778163365	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	488.0		125.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2550.868	717	561	561	703	561	561	643	729	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0509	adam	5	+accuracy	0.3487827715355805	2550.864	58.00000000000001	9	561	561	561	703	561	561	643	729	374.09522772772937	0	0.2579473206176203	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2739.6764523097445
31	31	5	0.26430517711171664	14850.881309291297	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.3					50.0			[1, 2, 3, 4, 5, 6]	369.0		488.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.584	561	607	561	561	561	561	793	651	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0818	adam	5	+accuracy	0.30816947565543074	2547.58	47.0	9	171	607	561	561	561	561	293	651	6764.4675955290195	0	0.2561307901907357	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	52025.640311540876
32	32	0	0.3796548592188919	1.4246860095432827	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.1		meanpool		True		114.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2550.136	561	561	561	561	561	561	561	599	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0722	adam	5	+accuracy	0.6656132958801498	2550.132	32.0	4	561	561	561	561	561	561	561	599	0.8931167358986001	0	0.3424159854677566	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.038436950956072
33	33	5	0.262488646684832	2.0354119641440254	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	9	32	basic	0.2		final_state		True		429.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2578.06	561	561	561	561	561	561	1035	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0713	adam	5	+accuracy	0.22846441947565546	2578.06	107.0	9	561	561	561	561	561	561	1035	571	3.0893570983901006	0	0.2016348773841962	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.636671985898699
34	34	3	0.3742052679382379	1.5488420656749182	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.4		meanpool		True		132.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2547.06	635	647	561	561	609	561	655	571	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0799	adam	5	+accuracy	0.46055711610486894	2547.048	55.0	7	10	561	561	561	609	561	655	571	1.339323207903444	0	0.37148047229791104	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.6730522496359692
35	35	2	0.3533151680290645	2.3100681815828596	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0												linear					bag_of_word_counts	classifier	2539.16	561	659	561	561	671	701	561	687	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0419	adam	5	+accuracy	0.9904026217228464	2539.16	324.0	6	561	561	561	561	561	571	561	585	0.061509581561782836	0	0.3524069028156221	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.79153345312391
36	36	0	0.2706630336058129	3.6093548774719237	False	8543	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3					50.0			[1, 2, 3, 4, 5, 6, 7]	213.0		448.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2550.304	635	561	561	561	609	561	655	571	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0347	adam	5	+accuracy	0.2367743445692884	2550.304	27.0	4	635	561	561	561	609	561	655	0	905.2249354610727	0	0.2434150772025432	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	663.2424152919224
