	Unnamed: 0	Unnamed: 0.1	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.max_tokens	dataset_reader.max_tuples	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.end_tokens	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.sorting_keys	iterator.type	model.aggregate_feedforward.activations	model.aggregate_feedforward.dropout	model.aggregate_feedforward.hidden_dims	model.aggregate_feedforward.input_dim	model.aggregate_feedforward.num_layers	model.attend_feedforward.activations	model.attend_feedforward.dropout	model.attend_feedforward.hidden_dims	model.attend_feedforward.input_dim	model.attend_feedforward.num_layers	model.attention_similarity.type	model.classifier.activations	model.classifier.dropout	model.classifier.hidden_dims	model.classifier.input_dim	model.classifier.num_layers	model.compare_feedforward.activations	model.compare_feedforward.dropout	model.compare_feedforward.hidden_dims	model.compare_feedforward.input_dim	model.compare_feedforward.num_layers	model.dropout	model.edge_embedding.embedding_dim	model.edge_embedding.vocab_namespace	model.edge_probability.activations	model.edge_probability.dropout	model.edge_probability.hidden_dims	model.edge_probability.input_dim	model.edge_probability.num_layers	model.encoder.architecture.type	model.encoder.bidirectional	model.encoder.hidden_size	model.encoder.input_size	model.encoder.num_layers	model.encoder.type	model.ignore_edges	model.inference_encoder.bidirectional	model.inference_encoder.hidden_size	model.inference_encoder.input_size	model.inference_encoder.num_layers	model.inference_encoder.type	model.initializer	model.output_feedforward.activations	model.output_feedforward.dropout	model.output_feedforward.hidden_dims	model.output_feedforward.input_dim	model.output_feedforward.num_layers	model.output_logit.activations	model.output_logit.hidden_dims	model.output_logit.input_dim	model.output_logit.num_layers	model.phrase_probability.activations	model.phrase_probability.dropout	model.phrase_probability.hidden_dims	model.phrase_probability.input_dim	model.phrase_probability.num_layers	model.premise_encoder.bidirectional	model.premise_encoder.hidden_size	model.premise_encoder.input_size	model.premise_encoder.num_layers	model.premise_encoder.type	model.projection_feedforward.activations	model.projection_feedforward.hidden_dims	model.projection_feedforward.input_dim	model.projection_feedforward.num_layers	model.similarity_function.type	model.text_field_embedder.token_embedders.tokens.embedding_dim	model.text_field_embedder.token_embedders.tokens.pretrained_file	model.text_field_embedder.token_embedders.tokens.projection_dim	model.text_field_embedder.token_embedders.tokens.trainable	model.text_field_embedder.token_embedders.tokens.type	model.text_field_embedder.tokens.embedding_dim	model.text_field_embedder.tokens.pretrained_file	model.text_field_embedder.tokens.projection_dim	model.text_field_embedder.tokens.trainable	model.text_field_embedder.tokens.type	model.type	model.use_encoding_for_node	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	test_accuracy	test_data_path	test_loss	train_data_path	trainer.cuda_device	trainer.grad_clipping	trainer.grad_norm	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.gamma	trainer.learning_rate_scheduler.mode	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_loss
64	64	64.0	0	0.4961656441717792	0.7459268598329454			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.2333058169278292								esim	True	200.0	300.0	3.0	lstm		True	125.0	489.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu']	['0.3515782501440153']	[219]	1000.0	1.0	linear	3.0	219.0	1.0											['relu', 'relu', 'relu']	[489, 489, 489]	1600.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2848.18	9949	9537	11962	3483						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		5.3668368647278015	0.5		max	0.0	reduce_on_plateau	75	1.0	4.288128949552908e-06	adam	5	+accuracy	0.6110781488387862	2848.18	152.0	4	9949	9537	11712	3483					0.674950933472574	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7194413258915856
65	65	65.0	1	0.7760736196319018	0.5107925832271576			10000	True	single_id		snli	5		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.021320854168678068								esim	True	302.0	300.0	3.0	lstm		True	411.0	358.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh']	['0.18587566413358347']	[89]	3288.0	1.0	linear	3.0	89.0	1.0											['tanh', 'tanh', 'tanh']	[358, 358, 358]	2416.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2850.86	9949	0	5453	6987						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.309969324707287	0.5		max	0.0	reduce_on_plateau	75	1.0	2.2670035655598314e-05	adam	5	+accuracy	0.8330225461942702	2850.86	193.0	5	9949	0	5453	10					0.3725539143411771	0	0.7630368098159509	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5155907074610392
66	66	66.0	7	0.7661042944785276	0.5275284839527947			10000	True	single_id		snli	11		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.2229348711988195								esim	True	372.0	300.0	3.0	lstm		True	219.0	65.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh']	['0.4121804419365079']	[115]	1752.0	1.0	linear	3.0	115.0	1.0											['tanh']	[65]	2976.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2865.736	9949	0	1853	4123						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.10628763408217	0.5		max	0.0	reduce_on_plateau	75	1.0	0.00034514567738560056	adam	5	+accuracy	0.9249872859806748	2865.736	436.0	11	9949	0	1853	4123					0.1859181257656354	0	0.7638036809815951	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.5570336558989116
67	67	67.0	0	0.4961656441717792	0.729200576032911			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.21563936097061176								esim	True	409.0	300.0	1.0	lstm		True	256.0	90.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh']	['0.01794642548095121']	[273]	2048.0	1.0	linear	3.0	273.0	1.0											['tanh', 'tanh']	[90, 90]	3272.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2828.732	9949	9713	11968	3343						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		5.8275847647256445	0.5		max	0.0	reduce_on_plateau	75	1.0	0.01424381725976125	adam	5	+accuracy	0.6209103237836922	2828.516	102.0	4	9949	9713	9987	3343					0.6722817102744973	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8036035100618998
68	68	68.0	0	0.4961656441717792	0.7398175350049647			10000	True	single_id		snli	4		32	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.22842378610231								esim	True	211.0	300.0	2.0	lstm		True	152.0	456.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.12907940830000603', '0.12907940830000603', '0.12907940830000603']	[313, 313, 313]	1216.0	3.0	linear	3.0	313.0	1.0											['tanh']	[456]	1688.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2823.94	10	11437	2253	1593						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.604097494179543	0.5		max	0.0	reduce_on_plateau	75	1.0	2.6742067218432152e-06	adam	5	+accuracy	0.6222664858450585	2823.94	158.0	4	10	11437	2253	1593					0.6590646291732142	0	0.4900306748466258	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.6984988487348324
69	69	69.0	1	0.5038343558282209	1.7923471814110166			10000	True	single_id		snli	5		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.3698721087759822								esim	True	248.0	300.0	2.0	lstm		True	191.0	392.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.3082127137990009', '0.3082127137990009', '0.3082127137990009']	[148, 148, 148]	1528.0	3.0	linear	3.0	148.0	1.0											['relu']	[392]	1984.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2830.0840000000007	9949	10433	3403	2195						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.738300316218988	0.5		max	0.0	reduce_on_plateau	75	1.0	0.08256416386085215	adam	5	+accuracy	0.5847177487709782	2830.0840000000007	130.0	5	9949	10	3403	2195					0.7048523584355507	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7096376816431681
70	70	70.0	5	0.5038343558282209	0.6934084528829993			10000	True	single_id		snli	9		32	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.3245667340033245								esim	True	123.0	300.0	2.0	lstm		True	377.0	93.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh']	['0.18666018426777714', '0.18666018426777714']	[398, 398]	3016.0	2.0	linear	3.0	398.0	1.0											['tanh', 'tanh', 'tanh']	[93, 93, 93]	984.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2812.176	10649	11451	11988	2921						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		6.636159463882737	0.5		max	0.0	reduce_on_plateau	75	1.0	0.012648675467904751	adam	5	+accuracy	0.6351924054924564	2812.176	435.0	9	10649	9901	11988	2921					0.6608269966553221	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7629193125701532
71	71	71.0	1	0.7553680981595092	0.5404653974941799			10000	True	single_id		snli	5		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.35313781394499955								esim	True	110.0	300.0	3.0	lstm		True	74.0	194.0	2.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh']	['0.09444296283273257', '0.09444296283273257']	[119, 119]	592.0	2.0	linear	3.0	119.0	1.0											['relu']	[194]	880.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2845.22	9949	9537	11572	2169						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.090399522063928	0.5		max	0.0	reduce_on_plateau	75	1.0	0.001697236573609482	adam	5	+accuracy	0.9589337175792508	2845.22	147.0	5	9949	9537	11572	2169					0.11227204872239736	0	0.74079754601227	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8049290974934896
72	72	72.0	7	0.7108895705521472	0.9973762362468532			10000	True	single_id		snli	11		32	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.4162550178130221								esim	True	216.0	300.0	3.0	lstm		True	70.0	172.0	2.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh']	['0.40738004281762663']	[445]	560.0	1.0	linear	3.0	445.0	1.0											['tanh']	[172]	1728.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2819.356	10759	11451	10393	1883						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		7.931415807104133	0.5		max	0.0	reduce_on_plateau	75	1.0	0.003582241177374495	adam	5	+accuracy	0.9836836751991864	2819.356	485.00000000000006	11	10759	10	10393	1883					0.05018267674964088	0	0.6963190184049081	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	1.2486408192936966
73	73	73.0	0	0.4961656441717792	0.7620952384812492			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.08582269242774243								esim	True	132.0	300.0	3.0	lstm		True	314.0	254.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu']	['0.30871713209872265', '0.30871713209872265']	[459, 459]	2512.0	2.0	linear	3.0	459.0	1.0											['tanh']	[254]	1056.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2833.744	9949	9713	11968	4877						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.536010673049752	0.5		max	0.0	reduce_on_plateau	75	1.0	0.009587838670597476	adam	5	+accuracy	0.6354466858789626	2833.744	220.0	4	9949	9713	11968	10					0.656508659282674	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7389996874900091
74	74	74.0	7	0.7546012269938649	0.7387436472234272			10000	True	single_id		snli	11		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.4539387703510738								esim	True	294.0	300.0	2.0	lstm		True	107.0	339.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh']	['0.4657994748614123', '0.4657994748614123']	[67, 67]	856.0	2.0	linear	3.0	67.0	1.0											['tanh', 'tanh', 'tanh']	[339, 339, 339]	2352.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2834.8720000000008	9949	10433	1943	4503						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		5.133076398367776	0.5		max	0.0	reduce_on_plateau	75	1.0	0.000872312543803453	adam	5	+accuracy	0.95821325648415	2834.8720000000008	341.0	11	9949	9893	1943	4503					0.11930328049270444	0	0.7484662576687117	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7903047856830415
75	75	75.0	0	0.4961656441717792	0.8189323033605304			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.18638661581498667								esim	True	82.0	300.0	1.0	lstm		True	415.0	241.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh']	['0.1944308953452082', '0.1944308953452082']	[486, 486]	3320.0	2.0	linear	3.0	486.0	1.0											['tanh', 'tanh']	[241, 241]	656.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2818.16	9949	9535	12020	3275						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.744269756447707	0.5		max	0.0	reduce_on_plateau	75	1.0	0.005985407461527575	adam	5	+accuracy	0.6150618748940498	2818.16	191.0	4	9949	9535	11640	3275					0.6721167907643771	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7021308938662211
76	76	76.0	6	0.799079754601227	0.4587533394011056			10000	True	single_id		snli	10		32	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.25553395314490224								esim	True	332.0	300.0	1.0	lstm		True	334.0	501.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.21344742743567002', '0.21344742743567002', '0.21344742743567002']	[127, 127, 127]	2672.0	3.0	linear	3.0	127.0	1.0											['relu', 'relu']	[501, 501]	2656.0	2.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2848.448	10649	11451	12142	3289						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		6.553313974417657	0.5		max	0.0	reduce_on_plateau	75	1.0	1.2634894291154144e-05	adam	5	+accuracy	0.82013900661129	2848.448	525.0	10	10649	9901	11356	3289					0.4054120093947504	0	0.7906441717791411	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.4648306936752506
77	77	77.0	2	0.7783742331288344	0.5274513775394076			10000	True	single_id		snli	6		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.12913876089274146								esim	True	121.0	300.0	2.0	lstm		True	176.0	153.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.264909062563231', '0.264909062563231', '0.264909062563231']	[466, 466, 466]	1408.0	3.0	linear	3.0	466.0	1.0											['relu']	[153]	968.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2817.284	9949	0	2409	4177						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		6.050759026598531	0.5		max	0.0	reduce_on_plateau	75	1.0	0.0005843760616046184	adam	5	+accuracy	0.9697830140701814	2817.284	135.0	6	9949	0	2409	4177					0.0794515593941538	0	0.7638036809815951	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.8289433916409811
78	78	78.0	2	0.7576687116564417	0.5297201446124485			10000	True	single_id		snli	6		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.06345540384932408								esim	True	471.0	300.0	3.0	lstm		True	321.0	76.0	3.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.013165890665410518', '0.013165890665410518', '0.013165890665410518']	[275, 275, 275]	2568.0	3.0	linear	3.0	275.0	1.0											['tanh']	[76]	3768.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2929.496	9949	0	4767	7225						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		8.359942395466781	0.5		max	0.0	reduce_on_plateau	75	1.0	0.0002426636018071995	adam	5	+accuracy	0.9413459908459059	2929.496	333.0	6	9949	0	10	7225					0.1544082487370506	0	0.7392638036809815	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.666036532038734
79	79	79.0	1	0.5038343558282209	0.8031785601661319			10000	True	single_id		snli	5		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.2601659367005622								esim	True	86.0	300.0	2.0	lstm		True	368.0	483.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['tanh', 'tanh', 'tanh']	['0.38613090039796705', '0.38613090039796705', '0.38613090039796705']	[404, 404, 404]	2944.0	3.0	linear	3.0	404.0	1.0											['tanh', 'tanh', 'tanh']	[483, 483, 483]	688.0	3.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2837.172	9949	9537	12182	1823						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		9.755318889260666	0.5		max	0.0	reduce_on_plateau	75	1.0	0.007088362946975959	adam	5	+accuracy	0.6158670961179861	2837.172	133.0	5	9949	9537	10508	1823					0.6725563861651795	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7245093271845863
80	80	80.0	0	0.4961656441717792	0.7186788348924547			10000	True	single_id		snli	4		64	[['premise', 'num_tokens'], ['hypothesis', 'num_tokens']]	bucket																						0.2858579389920394								esim	True	356.0	300.0	2.0	lstm		True	225.0	477.0	1.0	lstm	[['.*linear_layers.*weight', {'type': 'xavier_uniform'}], ['.*linear_layers.*bias', {'type': 'zero'}], ['.*weight_ih.*', {'type': 'xavier_uniform'}], ['.*weight_hh.*', {'type': 'orthogonal'}], ['.*bias_ih.*', {'type': 'zero'}], ['.*bias_hh.*', {'type': 'lstm_hidden_bias'}]]	['relu', 'relu', 'relu']	['0.015072941762521497', '0.015072941762521497', '0.015072941762521497']	[325, 325, 325]	1800.0	3.0	linear	3.0	325.0	1.0											['tanh']	[477]	2848.0	1.0	dot_product	300.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.840B.300d.txt.gz		True	embedding						esim		2847.304	9949	0	5963	7225						/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_test.txt		/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_train.txt	0		6.944348268922349	0.5		max	0.0	reduce_on_plateau	75	1.0	0.006395962289922244	adam	5	+accuracy	0.6354466858789626	2847.304	134.0	4	9949	0	5963	10					0.6565003524304729	0	0.4961656441717792	/home/suching/reproducibility/scitail/SciTailV1.1/snli_format/scitail_1.0_dev.txt	0.7370389132272629
