	penalty	C	solver	tol	random_state	accuracy	training_duration	dataset_reader.sample	model.encoder.architecture.type	best_validation_accuracy
13	l2	0.4891551468035252	liblinear	0.0061802918924631954	76067	0.2870118074477748	0.7787928581237793	8544	logistic regression	0.3605812897366031
14	l1	0.1866974042805155	liblinear	0.003985532956667849	53376	0.254314259763851	1.1434049606323242	8544	logistic regression	0.2561307901907357
15	l1	0.40113203848962004	liblinear	0.0005437761677076731	5284	0.25340599455040874	0.9855170249938964	8544	logistic regression	0.3542234332425068
16	l1	0.8502790028597617	liblinear	0.00010328702678464902	62058	0.3542234332425068	0.8310699462890625	8544	logistic regression	0.368755676657584
17	l1	0.34470472176319544	liblinear	0.00225844417627072	76777	0.28610354223433243	0.6172151565551758	8544	logistic regression	0.3424159854677566
18	l2	0.924930022836397	liblinear	0.001916757861103884	23364	0.3814713896457766	1.8552820682525637	8544	logistic regression	0.3732970027247957
19	l1	0.09620785513555463	liblinear	0.0050858185950124896	34824	0.25340599455040874	0.9842929840087892	8544	logistic regression	0.3442325158946412
0	l1	0.7157687361955222	liblinear	0.004483152254938988	69670	0.3551316984559492	1.504465103149414	8544	logistic regression	0.3033605812897366
1	l2	0.5288245792805706	liblinear	0.00011648599467623125	63113	0.35603996366939145	1.1047110557556152	8544	logistic regression	0.3678474114441417
2	l2	0.07371925530787637	liblinear	0.0005565653304227995	82500	0.3133514986376022	0.6233758926391602	8544	logistic regression	0.3505903723887375
3	l2	0.4115967912024781	liblinear	0.007186739583255008	68672	0.3696639418710264	0.6990249156951904	8544	logistic regression	0.2579473206176203
4	l2	0.8522686832597971	liblinear	0.004989068049599813	80496	0.3732970027247957	0.7345359325408936	8544	logistic regression	0.368755676657584
5	l1	0.6383890215450109	liblinear	0.0004434258819136839	15557	0.3206176203451408	0.7083799839019775	8544	logistic regression	0.3760217983651226
6	l2	0.8782166999379151	liblinear	0.0005879284274358368	50797	0.3079019073569482	0.9123489856719972	8544	logistic regression	0.3188010899182561
7	l1	0.5835800401161375	liblinear	0.0005740426960071263	54479	0.36603088101725706	3.179096937179565	8544	logistic regression	0.3941871026339691
8	l1	0.3696401837768567	liblinear	0.00214768328534661	85616	0.3051771117166213	2.182623147964477	8544	logistic regression	0.3878292461398729
9	l1	0.4061967948134082	liblinear	0.003114047240566811	89541	0.3823796548592189	2.8472270965576167	8544	logistic regression	0.3578564940962761
