Unnamed: 0	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
10	4	0.7981651376146789	0.7358249106577465	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	13	64	basic	0.1					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	454.0		293.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2529.176	691	753	715	715	673	721	667	705	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.001410553900621758	adam	10	+accuracy	1.0	2529.176	50.0	13	661	753	715	715	673	671	305	705	0.0012231323389558615	0	0.7958715596330275	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.03389416209289
11	0	0.7855504587155964	0.4680676226105009	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.1												linear					bag_of_word_counts	classifier	2519.788	563	563	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.024311059111653408	adam	10	+accuracy	0.9867052023121388	2519.788	579.0	9	563	563	563	561	563	563	563	563	0.05516365440476925	0	0.7786697247706422	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5758198116506849
12	11	0.7282110091743119	0.5953535267284938	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	20	64	basic	0.0					50.0			[1, 2, 3, 4, 5]	497.0		395.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2526.264	691	753	715	715	673	1928	677	705	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.82157682920268e-06	adam	10	+accuracy	0.7210982658959537	2526.264	68.0	20	661	753	715	647	651	1928	677	705	0.5906289712004705	0	0.7247706422018348	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5910868900162833
13	12	0.7993119266055045	0.4427955661501203	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	21	64	basic	0.0												linear					bag_of_word_counts	classifier	2519.584	563	563	563	561	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.003174735491152828	adam	10	+accuracy	0.9784682080924856	2519.584	1270.0	21	563	563	563	561	563	563	563	563	0.177046571849683	0	0.7993119266055045	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4423233611243112
14	0	0.7935779816513762	0.4430558298315321	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.4			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2527.276	573	573	573	573	573	573	573	571	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.018912112508936645	adam	10	+accuracy	0.997543352601156	2527.276	30.000000000000004	9	573	573	573	0	571	573	573	571	0.01538797930190596	0	0.7740825688073395	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.9957903027534484
15	7	0.7981651376146789	1.0709260404109957	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	16	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7]	387.0		471.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2530.5879999999997	671	707	589	705	691	753	641	703	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0016125598661952732	adam	10	+accuracy	1.0	2530.5879999999997	61.00000000000001	16	671	707	589	705	689	753	641	703	0.0005252231766871356	0	0.7947247706422018	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.1831191245998656
16	5	0.7935779816513762	0.5796421276671546	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	14	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	151.0		179.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.396	713	595	653	659	691	653	731	647	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00041203540971560296	adam	10	+accuracy	1.0	2528.396	56.0	14	713	595	653	659	691	653	731	647	0.00433670274844957	0	0.7889908256880734	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6972008581672396
17	11	0.7717889908256881	0.4914478595767702	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	20	64	basic	0.0					50.0			[1, 2, 3, 4, 5, 6]	418.0		488.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.48	737	613	675	643	691	6554	637	731	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	6.74670279200754e-05	adam	10	+accuracy	0.9144508670520232	2528.48	70.0	20	737	603	675	643	691	0	637	665	0.25154179307298924	0	0.7694954128440367	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4923383998019354
18	18	0.7878440366972477	0.4690162071159908	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	27	64	basic	0.1												linear					bag_of_word_counts	classifier	2520.14	563	563	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0016147593394113882	adam	10	+accuracy	0.9394508670520232	2520.14	1623.0	27	563	563	563	563	563	563	561	563	0.31040597864247244	0	0.7878440366972477	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4681798006807055
19	2	0.8004587155963303	0.4502219068152564	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.0												linear					bag_of_word_counts	classifier	2519.824	563	561	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0054611934544745635	adam	10	+accuracy	0.9836705202312138	2519.82	690.0	11	563	561	563	563	563	563	563	563	0.14056020312079595	0	0.7981651376146789	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4447177903992789
20	27	0.7327981651376146	0.5573765954801014	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	36	64	basic	0.3		attention		True		161.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2525.9	791	1107	1347	1283	653	953	727	1045	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	3.7041873953283e-05	adam	10	+accuracy	0.7186416184971098	2525.9	145.0	36	623	625	1109	617	653	953	715	669	0.5642539522516619	0	0.7327981651376146	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.5572792291641235
21	2	0.5068807339449541	0.6950114028794425	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	11	64	basic	0.4			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2524.376	571	573	571	571	573	571	573	573	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.4311246609072257e-06	adam	10	+accuracy	0.5001445086705202	2524.376	38.0	11	279	573	571	571	0	239	573	573	0.7028615862951366	0	0.5057339449541285	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6947278593267713
22	0	0.5527522935779816	0.6920660180704934	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	9	64	basic	0.3		final_state		True		107.0	50.0			2.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2528.136	713	1273	705	869	1153	677	683	769	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	5.433258489126665e-06	adam	10	+accuracy	0.5354046242774566	2528.136	49.0	9	713	1273	705	869	0	677	683	769	0.6868826774282193	0	0.5217889908256881	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6867353958742959
23	13	0.7293577981651376	0.6361219925539834	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	22	64	basic	0.1												linear					bag_of_word_counts	classifier	2519.644	563	563	563	563	563	563	561	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0001358484377664126	adam	10	+accuracy	0.8020231213872833	2519.644	1337.0	22	563	563	563	561	563	563	561	563	0.6126463850703808	0	0.7282110091743119	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6342062694685799
24	9	0.7981651376146789	0.7306923291512898	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	18	64	basic	0.3					50.0			[1, 2, 3, 4, 5, 6, 7, 8]	234.0		124.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2527.26	661	753	715	715	651	7753	677	705	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0005369760484771113	adam	10	+accuracy	1.0	2527.256	71.0	18	661	713	635	647	651	5056	677	677	0.0019549869616097264	0	0.7947247706422018	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7783655460391726
25	6	0.6456422018348624	0.6754175339426313	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	15	64	basic	0.4					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	295.0		314.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2526.904	713	595	653	705	691	753	731	647	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.3720866689807169e-06	adam	10	+accuracy	0.5861271676300578	2526.904	59.00000000000001	15	713	595	653	659	691	653	731	647	0.6752441623888978	0	0.6376146788990825	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6713780675615583
26	1	0.7798165137614679	0.495050025837762	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	10	64	basic	0.2					50.0			[1, 2, 3, 4, 5, 6]	469.0		330.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2527.4	645	713	725	637	711	6584	699	731	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.008962859376842994	adam	10	+accuracy	1.0	2527.4	34.0	10	645	637	725	637	711	6584	699	731	0.0005143797836787657	0	0.768348623853211	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9084570620741164
27	5	0.7855504587155964	0.6577105245419911	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	14	64	basic	0.0					50.0			[1, 2, 3, 4, 5, 6, 7]	462.0		494.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2530.7960000000003	737	637	725	639	711	6584	699	731	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0003729330660251204	adam	10	+accuracy	1.0	2530.7960000000003	53.0	14	737	637	725	639	671	6444	10	731	0.002664760301966186	0	0.7798165137614679	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.7949250383036477
28	23	0.7649082568807339	0.486986660531589	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	32	64	basic	0.4					50.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	430.0		113.0	cnn	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2535.556	745	649	733	711	689	721	667	657	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	7.802156176783619e-05	adam	10	+accuracy	0.8988439306358381	2535.556	120.0	32	691	431	733	711	10	721	667	647	0.28016102601081955	0	0.7591743119266054	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4879892574889319
29	5	0.4655963302752293	0.6994225553103856	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	14	64	basic	0.4			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2523.552	573	573	573	573	573	573	573	573	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	1.8815447659564357e-06	adam	10	+accuracy	0.4819364161849711	2523.552	42.0	14	343	10	573	571	573	10	573	573	0.7017300139873399	0	0.4655963302752293	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.6992215471608298
30	1	0.7912844036697247	0.4797973781824112	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	10	64	basic	0.4												linear					bag_of_word_counts	classifier	2519.504	563	563	563	563	563	563	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.008961210561464828	adam	10	+accuracy	0.9252890173410404	2519.496	631.0	10	563	563	563	563	563	563	563	563	0.21318354710526424	0	0.7855504587155964	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4558076454060418
31	16	0.8016055045871558	0.5010262791599546	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	25	64	basic	0.1		meanpool		True		499.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2532.036	865	767	831	1145	849	1073	979	989	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.00017084360262603358	adam	10	+accuracy	0.8923410404624278	2532.036	122.0	25	691	767	831	1091	849	1073	889	703	0.2647539145492632	0	0.7970183486238532	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.502564611179488
32	8	0.7442660550458715	1.6503887602261134	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	17	64	basic	0.1		final_state		True		393.0	50.0			1.0		lstm	seq2seq	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2533.508	809	767	819	643	827	791	939	1131	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0584806231045793	adam	10	+accuracy	1.0	2533.508	79.0	17	809	739	721	643	827	791	901	921	0.0006113231113744437	0	0.7362385321100917	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.9324520059994288
33	9	0.8027522935779816	0.4626323261431286	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	18	64	basic	0.3												linear					bag_of_word_counts	classifier	2520.592	563	563	563	563	563	3536	563	563	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.002423813888881114	adam	10	+accuracy	0.9234104046242776	2520.592	1099.0	18	563	563	563	563	563	563	563	563	0.3030162476891771	0	0.7970183486238532	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4577921650239399
34	5	0.8004587155963303	0.4302463361195156	False	6919	True	single_id	just_spaces	semisupervised_text_classification_json	14	64	basic	0.1			True		50.0							boe	seq2vec	50.0	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True		classifier	2524.012	573	571	573	573	571	573	571	571	/home/suching/reproducibility/data/sst2/train.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.002112140131279537	adam	10	+accuracy	0.9575144508670519	2524.012	41.0	14	10	571	573	573	571	573	571	571	0.15785617490700626	0	0.7970183486238532	/home/suching/reproducibility/data/sst2/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	0.4397808164358139
