	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	iterator.batch_size	iterator.type	model.dropout	model.encoder	model.encoder.aggregations	model.encoder.architecture.averaged	model.encoder.architecture.bidirectional	model.encoder.architecture.embedding_dim	model.encoder.architecture.hidden_size	model.encoder.architecture.input_size	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.num_layers	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.trainable	model.input_embedder.token_embedders.tokens.type	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	peak_gpu_4_memory_MB	peak_gpu_5_memory_MB	peak_gpu_6_memory_MB	peak_gpu_7_memory_MB	train_data_path	trainer.cuda_device	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_gpu_4_memory_MB	training_gpu_5_memory_MB	training_gpu_6_memory_MB	training_gpu_7_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss
32	8	0.31244323342415986	5.656443916048322	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	12	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2484.624	551	553	553	603	833	709	1011	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0712	adam	5	+accuracy	1.0	2484.624	00:00:11	12	551	139	553	603	833	331	413	553	3.4868717193603516e-06	0	0.31244323342415986	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	5.683391094207764
33	2	0.2888283378746594	1.58144839150565	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2484.288	687	553	553	769	601	553	601	787	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.01	adam	5	+accuracy	1.0	2484.284	00:00:06	6	10	553	553	0	10	553	601	773	0.009907827845641546	0	0.2815622161671208	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.958172263417925
34	1	0.29064486830154407	1.854553440638951	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	5	32	basic	0.2		attention		True		269.0	300.0			1.0		lstm	seq2seq	300.0	True	embedding	classifier	2492.772	693	553	553	551	693	553	555	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0155	adam	5	+accuracy	0.945	2492.768	00:00:06	5	693	553	553	551	693	553	473	553	0.20638726598450116	0	0.22979109900090827	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	4.867797252110073
35	2	0.2924613987284287	2.2454988752092633	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.1		maxpool		True		86.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2490.408	0	553	551	0	551	593	0	631	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0139	adam	5	+accuracy	0.955	2490.404	00:00:15	6	0	553	551	0	551	593	0	631	0.13240826023476465	0	0.25703905540417804	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.847039066042219
36	0	0.25522252497729336	163.8629785810198	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3					300.0			[1, 2, 3, 4, 5, 6, 7]	416		276.0	cnn	seq2vec	300.0	True	embedding	classifier	2495.452	619	593	795	671	295	601	601	601	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0597	adam	5	+accuracy	0.485	2495.448	00:00:06	4	21	593	795	671	245	169	591	0	752.3192541939871	0	0.1980018165304269	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	520.2712354387555
37	0	0.26248864668483196	9.27799425125122	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.3		final_state		True		508.0	300.0			2.0		lstm	seq2seq	300.0	True	embedding	classifier	2530.6	507	931	553	1097	665	719	521	671	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0655	adam	5	+accuracy	0.245	2530.6	00:00:07	4	401	931	553	1097	665	0	425	671	3.9241014208112444	0	0.18165304268846502	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.9087016582489014
38	3	0.28701180744777477	1.5753843069076539	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.2												linear				bag_of_word_counts	classifier	2481.3	673	553	727	1011	809	841	553	827	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0034	adam	5	+accuracy	0.935	2481.3	00:00:37	7	553	553	313	0	809	0	553	407	0.8938934888158526	0	0.2761126248864669	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.571235912186759
39	2	0.28247048138056313	2.4969344309398105	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.0			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2484.768	743	601	699	369	365	593	383	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0368	adam	5	+accuracy	1.0	2484.768	00:00:05	6	317	601	699	321	331	593	325	553	8.540494101388113e-06	0	0.28247048138056313	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.6493332181658062
40	3	0.2633969118982743	266.7835904802595	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	7	32	basic	0.4					300.0			[1, 2, 3, 4, 5, 6, 7, 8, 9]	222		180.0	cnn	seq2vec	300.0	True	embedding	classifier	2502.212	553	553	729	553	809	713	553	737	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0411	adam	5	+accuracy	0.87	2502.208	00:00:07	7	553	553	729	553	809	713	553	737	36.47635337284633	0	0.26248864668483196	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	646.7787885393415
41	0	0.29518619436875565	1.683704195703779	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	4	32	basic	0.4												linear				bag_of_word_counts	classifier	2480.32	743	699	687	601	553	593	619	553	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0586	adam	5	+accuracy	0.965	2480.316	00:00:20	4	743	699	687	399	553	593	441	553	0.24978709646633693	0	0.29064486830154407	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1.8925899812153408
42	2	0.28701180744777477	1.6252209288733346	False	200	True	single_id	just_spaces	semisupervised_text_classification_json	6	32	basic	0.3			True		300.0							boe	seq2vec	300.0	True	embedding	classifier	2485.108	553	601	553	601	593	757	641	653	/home/suching/reproducibility/data/sst/train.jsonl	0	50	1	0.0151	adam	5	+accuracy	1.0	2485.108	00:00:07	6	553	601	553	601	0	18	641	201	0.0024126278502600534	0	0.2688465031789282	/home/suching/reproducibility/data/sst/dev.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.167030440058027
